#{"t_start": 1652967960.699577, "env_id": null}
r,l,t
9.44,539,9743.978555
0.865,128,9748.365781
5.459,520,9765.808049
13.271,699,9789.251966
5.211,763,9814.854496
-1.353,333,9826.023379
-0.365,352,9838.099209
3.352,626,9859.221122
1.718,269,9868.400662
6.363,613,9888.936298
3.526,454,9904.151798
0.512,474,9920.008873
2.353,625,9941.648219
2.417,563,9960.463806
13.228,746,9985.451027
-1.598,579,10004.860978
2.562,423,10019.201691
12.964,995,10052.432303
5.228,744,10077.47659
2.362,612,10098.04528
4.686,302,10108.19478
9.007,955,10140.110081
3.026,940,10171.431989
11.089,876,10200.981591
3.296,678,10223.9213
4.356,620,10245.297778
6.439,539,10263.480796
1.279,694,10286.593959
-0.065,63,10288.84916
1.46,524,10306.362342
1.473,511,10323.561547
4.36,617,10344.200214
4.42,561,10362.997175
8.282,692,10386.255517
1.683,307,10396.636872
4.157,812,10424.633856
7.349,625,10445.583315
10.994,971,10478.119898
1.23,745,10503.397465
-0.403,390,10516.62042
4.451,529,10534.54405
5.273,700,10558.230727
13.844,1111,10595.717845
2.479,505,10612.962039
16.737,1214,10654.064008
2.568,417,10668.284946
8.771,1186,10708.098153
7.802,1155,10746.728991
20.194,2709,10837.300093
13.045,920,10868.21956
3.337,638,10889.684661
9.153,818,10917.156966
2.2,775,10943.549387
16.975,982,10977.350564
4.326,651,10999.239579
3.169,803,11026.235539
6.852,1109,11063.265102
0.309,669,11085.642805
4.17,802,11112.47806
6.191,782,11138.551673
12.983,977,11171.451538
6.294,680,11194.301873
5.406,572,11213.519252
6.154,815,11240.822755
5.156,816,11268.019913
12.549,1398,11314.554464
25.88,2045,11383.105987
8.221,750,11408.192533
0.453,530,11425.988211
11.042,921,11456.805882
-1.143,138,11461.659254
0.533,451,11476.79467
13.047,915,11507.300313
1.704,1256,11549.06555
9.032,932,11580.433069
4.371,606,11600.653598
4.075,891,11630.589297
2.495,485,11646.8142
0.244,730,11671.146559
1.384,595,11691.132726
15.053,1882,11753.809029
4.572,411,11767.676645
8.316,1624,11821.826418
-0.142,137,11826.629584
19.036,1889,11889.401278
4.378,601,11909.582787
17.284,1657,11964.963122
5.258,716,11988.917123
6.206,767,12014.564272
13.85,1108,12051.600792
0.735,1224,12092.546401
3.339,641,12114.079839
0.445,1503,12164.180656
24.685,1261,12206.131987
4.258,717,12230.348223
14.67,1279,12273.041228
9.038,926,12304.082075
33.947,2942,12402.003976
11.143,823,12429.47388
7.111,857,12458.051038
7.467,512,12475.252674
5.98,1956,12540.718441
1.304,672,12563.805319
8.592,1359,12609.185672
4.722,1233,12650.502394
5.137,832,12678.380981
8.306,667,12700.65372
3.264,709,12724.819378
6.383,595,12744.853251
6.832,1123,12782.327458
1.635,341,12794.104549
4.114,855,12822.598133
8.275,699,12846.000191
9.783,1171,12884.953951
14.808,1145,12923.389433
8.321,652,12945.154207
0.182,793,12971.875701
5.347,629,12992.941898
1.44,542,13011.169617
1.333,646,13033.117986
-0.797,772,13058.914572
8.827,1133,13096.852073
7.197,774,13122.741309
4.295,680,13145.432027
3.253,723,13169.611113
2.391,589,13189.357506
8.147,823,13216.858585
7.248,725,13241.507859
8.384,591,13261.809492
2.987,982,13294.751824
3.302,675,13317.449963
13.082,882,13346.90871
2.251,721,13370.947601
5.298,676,13393.662144
16.82,1133,13431.396399
8.989,973,13464.026492
7.987,974,13496.637597
7.129,839,13524.792843
0.272,704,13548.279939
14.911,1046,13583.392002
4.421,558,13602.116784
7.757,1201,13642.044656
8.83,1126,13679.697828
10.051,913,13710.394161
8.943,1019,13744.423358
7.442,536,13762.374232
14.081,884,13791.96497
19.533,1411,13838.948626
7.169,804,13865.848789
10.995,967,13898.113827
11.566,1373,13944.080395
25.917,2002,14010.823991
6.289,685,14033.872916
9.851,1105,14071.310121
9.035,927,14102.534742
20.315,1624,14156.751131
5.138,832,14184.546579
5.151,819,14211.951498
19.933,1026,14246.219349
7.299,674,14269.029225
17.903,1051,14304.068947
10.258,714,14328.061574
12.164,803,14354.918102
10.047,918,14385.578429
46.086,3764,14511.243289
21.709,1241,14553.048112
13.063,901,14583.20403
27.029,2863,14679.296802
9.328,646,14700.955443
7.307,668,14723.339983
19.935,1021,14757.839348
16.92,1036,14793.142678
2.343,635,14814.896933
12.966,994,14848.369072
2.408,572,14867.578961
1.578,408,14881.761049
23.954,1966,14947.653823
13.282,1656,15003.858056
7.417,561,15022.841202
3.377,602,15043.490599
17.658,1290,15086.679595
9.374,603,15107.595448
7.995,967,15140.059657
11.134,833,15168.357848
13.154,813,15195.724306
20.62,1331,15240.381049
4.286,690,15263.991259
17.606,1343,15309.160137
3.31,666,15331.790163
7.519,463,15347.592408
8.385,590,15367.375681
14.579,1367,15413.090614
13.09,1842,15475.360682
5.419,559,15494.620895
6.257,716,15518.813878
9.886,1073,15554.66782
10.773,1182,15594.311707
18.712,1240,15635.650016
6.207,761,15661.314206
2.583,401,15675.225562
3.254,720,15699.799504
8.18,789,15726.565245
8.147,821,15754.062166
12.962,999,15787.620254
40.772,2141,15859.148161
10.189,778,15885.096341
12.379,596,15905.081463
7.254,718,15929.145965
9.207,762,15954.563291
11.304,667,15977.027564
19.551,1389,16023.34615
28.397,1539,16074.681424
6.23,744,16099.660425
6.361,615,16120.230815
-0.337,325,16131.246734
5.331,644,16152.861324
31.715,2195,16225.980785
30.056,1865,16288.33434
14.187,780,16314.464985
37.61,2292,16390.697579
4.225,748,16415.754005
3.29,684,16438.615453
7.302,669,16461.105924
28.679,1261,16503.072398
3.445,496,16519.764056
10.035,928,16550.883596
6.286,685,16573.799298
7.242,731,16598.203539
2.436,544,16616.449582
6.273,699,16640.054575
10.111,855,16669.051071
5.262,710,16692.82036
14.13,832,16720.989829
5.307,667,16743.59864
3.483,499,16760.404158
25.377,1555,16812.303794
